ECON|200|A|9780538453042
ECON|200|A,C|9781111547219
ECON|200|B|9780324794014;9780324589986
ECON|200|C|9780538453042
ECON|200|D|9780131394322;9780131394254
ECON|201|A|9780136125969;9780136125839
ECON|201|B|9780538453066;9781111546823
ECON|300|A|9780558757151
ECON|300|B|9780558757151
ECON|301|A|9780558838805
ECON|404|A|9781256178545
ECON|424|A|9780596809157;9781441977861
ECON|471|Ab|9780132744836
ECON|472|Ab|9780321226600
ECON|482|A|9780199567089
ECON|485|A|9780691003955;9780393310351
EDC&I|424|Aa|9780787965143
EDC&I|459|Aa|9780135012109;9780132239684
EDC&I|478|A|9781429264839;9780143115717
EDC&I|494|Aa|9782222222224
EDC&I|494|Cb|9780826412768;9780415910972;9780826477958;9780813343297
EDC&I|503|Aa|9781611044126
EDC&I|540|Aa|9780674008380;9781595583499
EDC&I|542|Aa|9780761988892
EDC&I|548|Aa|9781571103680;9780205626847
EDLPS|520|Aa|9780674002739
EDLPS|549|A|9781412958417
EDLPS|598|D|9780787978099
EDPSY|490|A|9780110018799;9781439088012;9780495596523
EDSPE|404|Aa|9780137033706
EDSPE|419|Aa|9780130194886
EDSPE|524|Aa|9780110021225
EDSPE|525|Aa|9781416402558
EDSPE|527|Ab|9780131592896
EDSPE|529|Ab|9780110021232
EDTEP|531|A|9780137019236;9780137028573;9780131381483;9780132611282
EDTEP|531|A,B|9780137028573
EDTEP|531|B|9780137019236;9780131381483;9780132611282
EDTEP|543|A,B|9780137034253
EDTEP|544|A,B|9780131381254
EDTEP|551|C|9780807751169;9780807749913;9780415950848;9780807750681;9780470483282
EDTEP|575|A|9780914409755
EDTEP|575|B|9780914409755
EE|215|A|9780132132121;9780136114994
EE|233|A|9780132132121;9780136114994
EE|235|A|9780138147570
EE|271|A|9780077211646
EE|331|A|9780077330040;9780073380452
EE|332|A|9780077330040;9780073380452
EE|341|A|9780138147570
EE|351|A|9781420062199
EE|472|A|9780470282885;9780471721802
EE|505|A|9780073660110
ENGL|111|A|9781594483295;9780803270831
ENGL|111|A-C|9780312651671;9780312666781;9780312664848
ENGL|111|B|9780141441344;9780679723165
ENGL|111|C|9780393964585;9780393926361
ENGL|131|A-G|9780312651671;9780312666774;9780312664848
ENGL|200|A|9780385721813;9780743273565;9780394747231;9780142437278
ENGL|200|Ba|9780156028349;9780312280192
